supplier,supplier_label,supplier_name,spend,transactions
GB383363440,Redacted,Redacted,108870420.86,36616
GB287158171,Greater Manchester Combined Authori,Greater Manchester Combined Authori,72994202.66,102
163782,HMRC CUMBERNAULD,HMRC CUMBERNAULD,49471972.62,312
GB813047950,Amey LG Ltd,Amey LG Ltd,34423618.16,1308
102324,GREATER MANCHESTER SUPERANN FUND,GREATER MANCHESTER SUPERANN FUND,27804531.15,127
102323,TEACHERS PENSIONS,TEACHERS PENSIONS,23169066.08,121
GB654415538,Manchester University NHS FT,Manchester University NHS FT,10272479.24,143
154413,Maria Mallaband 16 Ltd,Maria Mallaband 16 Ltd,8449732.790000001,4438
GB475244479,PIC MAGS Limited T/A PIC Homes,PIC MAGS Limited T/A PIC Homes,7893403.4399999995,14
GB835515525,Reed Specialist Recruitment Ltd,Reed Specialist Recruitment Ltd,6439632.76,299
149263,Future Directions CIC,Future Directions CIC,4505004.64,1285
100160,Creative Support Ltd,Creative Support Ltd,4263920.54,2065
145249,Kids Planet Day Nurseries,Kids Planet Day Nurseries,3921026.43,369
GB223413506,Galliford Try Building Limited,Galliford Try Building Limited,3593089.9,7
GB611400506,The Together Trust,The Together Trust,3569289.51,369
GB787455180,VOYAGE LTD,VOYAGE LTD,3399223.74,728
GB588646475,George Cox & Sons Ltd,George Cox & Sons Ltd,3277573.28,17
160479,Compassionate Care & Support Ltd,Compassionate Care & Support Ltd,3038168.48,839
134687,Away Day Care Ltd,Away Day Care Ltd,2886364.06,1617
144698,Manor Academy (Sovereign Trust),Manor Academy (Sovereign Trust),2727430.9,18
163242,Cherish UK Limited,Cherish UK Limited,2171205.61,10652
163801,Arielle's Care Ltd,Arielle's Care Ltd,2165682.91,4957
156968,Kingsley Care Homes Ltd,Kingsley Care Homes Ltd,2080757.17,1273
146391,Imagine Act and Succeed (IAS),Imagine Act and Succeed (IAS),2069898.9,952
162877,The Orchards,The Orchards,2043784.36,13
GB927516117,Bright Horizons Family Solutions Lt,Bright Horizons Family Solutions Lt,2008165.17,153
166758,Care Outlook Ltd,Care Outlook Ltd,1988817.38,5630
154721,Pictor Academy (Sovereign Trust),Pictor Academy (Sovereign Trust),1958252.0,14
159568,Falcon Carers Ltd,Falcon Carers Ltd,1880118.02,5384
144240,Absolute Care at Home Ltd,Absolute Care at Home Ltd,1843271.18,8568
159949,Delta Care Ltd,Delta Care Ltd,1827884.38,10260
GB438590270,Kier Construction Ltd,Kier Construction Ltd,1781461.04,5
GB149283837,Salford City Council,Salford City Council,1778706.0899999999,30
100667,Making Space,Making Space,1776985.17,318
GB481229685,The David Lewis Centre,The David Lewis Centre,1757788.54,216
GB818290029,Drax Energy Solutions Ltd,Drax Energy Solutions Ltd,1752638.44,2256
104228,Stockdales,Stockdales,1724335.39,557
GB795928947,NSL Ltd,NSL Ltd,1701043.46,33
GB578153121,Sale PFI Ltd,Sale PFI Ltd,1612627.18,16
102296,Flixton Manor,Flixton Manor,1498902.77,1347
GB901576633,UPS Building & Maintenance Limited,UPS Building & Maintenance Limited,1492102.55,978
GB603530385,The Trafford College Group,The Trafford College Group,1491734.57,515
167674,BLUESTONES MEDICAL COMPLEX CARE,BLUESTONES MEDICAL COMPLEX CARE,1470230.59,76
GB208544806,Constellia Public Ltd,Constellia Public Ltd,1467419.99,123
161020,Longford Park School (Sovereign Tru,Longford Park School (Sovereign Tru,1436187.0,21
146858,Kinglsey Healthcare,Kinglsey Healthcare,1420564.6,802
100420,Bradley House Limited,Bradley House Limited,1392808.0,923
GB124590032,Northwest Hotels Ltd T/A Amblehurst,Northwest Hotels Ltd T/A Amblehurst,1382948.0,104
GB286168565,Passenger Minibuses Manchester Ltd,Passenger Minibuses Manchester Ltd,1355910.43,273
GB654969186,Northumbria Healthcare NHS FT,Northumbria Healthcare NHS FT,1352661.85,1014
GB634165253,Carrington Riding Centre Ltd,Carrington Riding Centre Ltd,1303051.53,91
GB755349015,Phoenix Software Ltd,Phoenix Software Ltd,1295540.53,48
164177,Cathedral Care Services Ltd,Cathedral Care Services Ltd,1286615.55,3670
GB158556040,Stockport MBC (Accts Receiveable),Stockport MBC (Accts Receiveable),1276936.46,15
161050,Key Care & Support Ltd,Key Care & Support Ltd,1195195.78,910
GB427979538,Trafford Bruntwood (Stamf Qtr) LLP,Trafford Bruntwood (Stamf Qtr) LLP,1190126.33,9
GB809119040,Bedspace Resource Ltd,Bedspace Resource Ltd,1168479.24,2138
155181,JP4LIFE Ltd T/A Prolife Healthcare,JP4LIFE Ltd T/A Prolife Healthcare,1163607.31,4726
GB367728159,Consensus (2013) Limited,Consensus (2013) Limited,1127906.28,210
101152,St John Vianney School,St John Vianney School,1126497.07,134
100166,Trafford Domestic Abuse Svc (TDAS),Trafford Domestic Abuse Svc (TDAS),1120536.5,35
104153,Fairfield Care Ltd,Fairfield Care Ltd,1119901.68,269
166479,Sakinas Healthcare Limited,Sakinas Healthcare Limited,1111489.09,6453
159829,Passion Home Care Ltd,Passion Home Care Ltd,1063372.5999999999,3314
GB636407636,I Care (GB) Ltd,I Care (GB) Ltd,1032265.24,3430
102285,The Cedars Rest Home,The Cedars Rest Home,1011796.5299999999,743
GB151562580,Westshield Ltd,Westshield Ltd,987644.63,6
164503,Ignite Health Care Ltd,Ignite Health Care Ltd,983908.5599999999,2873
GB221620065,Trafford Leisure CIC Ltd,Trafford Leisure CIC Ltd,977543.8,102
GB481629763,Bright Futures Care Ltd,Bright Futures Care Ltd,973880.66,74
